,transit_timestamp,station_complex_id,borough,ridership,latitude,longitude,normalized_ridership,ridership_index
7971,01/19/2023 09:00:00 PM,359,Brooklyn,19,40.632835,-73.94764,0.30158730158730157,0.30158730158730157
7972,02/28/2024 10:00:00 AM,28,Brooklyn,3,40.677315,-73.98311,0.0023942537909018356,0.0023942537909018356
7973,02/28/2024 11:00:00 AM,134,Brooklyn,12,40.66937,-73.90198,0.04067796610169491,0.04067796610169491
7974,02/28/2024 11:00:00 AM,215,Bronx,10,40.85041,-73.90523,0.03389830508474576,0.03389830508474576
7975,05/14/2023 04:00:00 AM,359,Brooklyn,1,40.632835,-73.94764,1.0,1.0
7976,02/20/2023 08:00:00 AM,359,Brooklyn,60,40.632835,-73.94764,0.5660377358490566,0.5660377358490566
7977,01/12/2024 03:00:00 AM,200,Queens,1,40.588036,-73.813644,0.027777777777777776,0.027777777777777776
7978,01/20/2024 11:00:00 PM,232,Manhattan,507,40.7234,-73.98994,0.9512195121951219,0.9512195121951219
7979,06/12/2023 03:00:00 PM,359,Brooklyn,140,40.632835,-73.94764,0.6862745098039216,0.6862745098039216
7980,02/13/2023 12:00:00 AM,359,Brooklyn,1,40.632835,-73.94764,0.5,0.5
